v_min,v_max,r_min,r_max,r_mid,grain,r_squared,n_particles,deviation
30,150,40,50,45.0,1.863039376169186,0.9980886782188,2130983,0.7966253371040458
30,120,30,50,40.0,1.8625912292556415,0.9998873573495074,4563814,0.8204883250457096
40,130,170,180,175.0,1.8625838461446247,0.9836912863957826,688282,0.8208814619475615
40,100,38,48,43.0,1.893457240519644,0.9997146443717942,2192532,0.8230692502472862
40,100,30,50,40.0,1.862499774432862,0.9997780168065974,4563814,0.8253581239157575
20,100,15,25,20.0,1.8935091786771856,0.9996728473166153,3318785,0.8258348603400271
20,150,60,80,70.0,1.8624899780476216,0.9973027922797431,3075380,0.8258797631724321
50,120,35,45,40.0,1.8624445220836048,0.999786590231418,2289806,0.8283002085407408
20,100,20,25,22.5,1.893629332703776,0.9990043377456037,1508696,0.8322328383267413
50,150,168,178,173.0,1.8610765100530584,0.9799267515562309,738194,0.9011442996241472
30,120,38,48,43.0,1.8951903718919472,0.9998389235236501,2192532,0.9153552658118892
20,120,15,25,20.0,1.8607325591924582,0.9991691784449852,3318785,0.9194590419351291
20,100,20,30,25.0,1.895398038127185,0.9988314395030893,2858022,0.9264131058139091
20,120,38,48,43.0,1.895963205052204,0.9998737825788072,2192532,0.9565071912781713
20,100,172,182,177.0,1.8597132966744772,0.9890270597800559,651619,0.9737328714335856
30,100,15,20,17.5,1.8596034459866693,0.9997684560556283,1810089,0.9795822158323018
40,100,10,20,15.0,1.8595159490658482,0.9996526216190017,3418988,0.9842412637993467
20,150,168,178,173.0,1.859473460508235,0.9914181698777033,738194,0.986503700306968
40,130,40,50,45.0,1.8966288991981906,0.9997111508259944,2130983,0.991954163907916
30,120,10,15,12.5,1.859081059154299,0.9988206345041886,1608899,1.0073983410916345
30,120,100,120,110.0,1.8590602006768577,0.9947901296076553,2227894,1.0085090161417551
30,120,60,80,70.0,1.8971121541091,0.9980499912266607,3075380,1.0176865872790293
20,150,38,48,43.0,1.8588113419375702,0.9989617444602903,2192532,1.021760280214571
30,100,15,25,20.0,1.8585247255019317,0.9996590344910592,3318785,1.0370220712496372
20,100,38,48,43.0,1.8978362868406407,0.9998370237134374,2192532,1.0562453056784218
30,100,38,48,43.0,1.898067825216722,0.9997847746836436,2192532,1.0685742926902089
40,100,10,15,12.5,1.8575725053668286,0.9990917166438427,1608899,1.0877260188057127
20,100,30,45,37.5,1.8571094378145465,0.9998101064919769,3540497,1.112383502952789
30,100,10,15,12.5,1.8997034010402103,0.998911158818297,1608899,1.1556656570932058
40,120,30,50,40.0,1.8557169643798939,0.9998448949469114,4563814,1.1865301182165084
30,150,45,55,50.0,1.9004107990386638,0.9928947934210218,1988671,1.19333328214398
30,150,45,55,50.0,1.9004107990386638,0.9928947934210218,1988671,1.19333328214398
30,150,35,55,45.0,1.8547526792837652,0.997153572207265,4278477,1.2378765024619116
30,100,20,30,25.0,1.8545282291115173,0.9982876129772986,2858022,1.2498280558297457
40,100,20,25,22.5,1.8544111792231233,0.9973446734241991,1508696,1.2560607442426321
50,120,35,55,45.0,1.9022691087970063,0.9997484357944648,4278477,1.2922848134721188
50,120,160,190,175.0,1.9025414179308995,0.9952827239276109,2160304,1.306784767353546
40,150,150,180,165.0,1.8533814863650895,0.9953992115289184,2360502,1.3108899699100327
50,120,40,50,45.0,1.9026778578800616,0.9997179308659584,2130983,1.3140499403653738
20,100,10,20,15.0,1.90400668951456,0.9996549464738271,3418988,1.3848077483791315
40,150,140,170,155.0,1.9040320697379005,0.9969311518223727,2454368,1.386159197971279
60,140,38,48,43.0,1.8513896447160505,0.9989839539161457,2192532,1.4169518255564109
30,120,35,45,40.0,1.8512797329051616,0.9997541375583684,2289806,1.4228044246452782
60,140,160,190,175.0,1.8512532228979817,0.9927226247607059,2160304,1.4242160331213114
20,120,35,45,40.0,1.8511360437354427,0.9998513570241198,2289806,1.4304556051414898
20,120,30,45,37.5,1.8508618044205762,0.9998418117050429,3540497,1.4450583375624948
20,120,20,25,22.5,1.8506976584952948,0.9984953830682001,1508696,1.4537988021674717
40,120,100,120,110.0,1.8503496432007325,0.9921767593000566,2227894,1.4723299680121098
20,120,172,182,177.0,1.8501701870886902,0.9918526434114427,651619,1.4818856715287383
30,120,10,20,15.0,1.8497560313907426,0.9991828453585306,3418988,1.5039386905887788
20,100,5,10,7.5,1.8489665450732107,0.9960996772015117,458772,1.5459773656437283
40,120,35,45,40.0,1.848812396290553,0.9997471673134442,2289806,1.5541855010355141
40,100,172,182,177.0,1.848634951545398,0.9748260316304864,651619,1.5636341030139496
40,120,40,50,45.0,1.9079965801940624,0.9998220460520915,2130983,1.5972619911641366
40,150,40,55,47.5,1.8472589728176194,0.9951876788840799,3096337,1.6369024058775545
20,150,35,50,42.5,1.8469244014355888,0.9990178008261689,3313123,1.6547177084350966
40,100,140,170,155.0,1.8468986112458743,0.9969272137837359,2454368,1.6560909879726093
50,120,30,50,40.0,1.8463757473803657,0.9998465342566919,4563814,1.6839325143575186
20,100,5,15,10.0,1.909869255522579,0.9986781286376564,2067671,1.6969784623311515
30,150,38,48,43.0,1.8460508492836265,0.9985316856582008,2192532,1.7012327325012455
40,120,168,178,173.0,1.9100754137471043,0.9843732525680133,738194,1.707956003573186
